decoy                                  RMSD         CONTACT      R_GYRATION       AB_ENERGY           ANGLE            BOND           DIHED             EEL           EELEC             EGB           ESURF              NB         VDWAALS
decoy54_198_A_AMBER_minimized.pdb    11.8900    -28.0000000      15.2390340      -0.1531970   10102.8871000      57.4347000     496.7187000    1017.5758000   -1786.1191000   -1014.2469000      34.4404000     166.2712000    -149.5797000 
decoy59_105_A_AMBER_minimized.pdb     8.6800    -32.0000000      43.9252722      -0.1408572   10127.2222000     125.8438000     574.3618000    1042.6475000   -2003.9781000    -814.3413000      30.3858000     153.0129000     -96.6178000 
decoy7_8_A_AMBER_minimized.pdb        5.7700    -44.0000000      28.8544089      -0.1697577   10142.4408000     193.3127000     524.4063000     995.3580000   -1915.1076000    -898.5580000      30.6908000     154.9161000     -87.4897000 
decoy4_1_A_AMBER_minimized.pdb        4.9600    -45.0000000      38.9448195      -0.1315286   10116.2027000     100.4661000     511.4602000     974.8967000   -1848.8688000    -877.7991000      31.7261000     161.3182000    -110.3880000 
decoy34_70_A_AMBER_minimized.pdb      9.6100    -36.0000000      43.3113060      -0.1740108   10121.8842000     102.1266000     499.5287000    1019.6256000   -1846.0940000    -944.3768000      27.0637000     182.9064000     -86.9975000 
decoy69_218_A_AMBER_minimized.pdb    10.0600    -33.0000000      31.7319325      -0.1514089   10141.6359000     137.0705000     630.7773000    1024.0986000   -1961.9721000    -847.9785000      29.2495000     162.2583000     -78.7080000 
decoy58_19_A_AMBER_minimized.pdb      7.8300    -40.0000000      33.6620050      -0.1562866   10126.2551000     121.2005000     498.1915000    1039.4545000   -1876.6146000    -962.8305000      33.5152000     161.5716000    -102.0578000 
decoy54_173_A_AMBER_minimized.pdb     8.9500    -17.0000000      19.7688393      -0.1556171   10115.7670000      78.5065000     515.4330000    1066.9274000   -1868.9365000    -981.7107000      29.5632000     162.5977000    -137.0556000 
decoy65_11_A_AMBER_minimized.pdb      7.8600    -27.0000000      28.0369094      -0.1260034   10156.0694000     127.9118000     590.8705000    1010.8222000   -1677.8133000   -1101.5276000      27.7650000     172.1013000       1.6841000 
decoy18_148_A_AMBER_minimized.pdb    10.2900    -22.0000000       6.0143205      -0.1061861   10121.4636000     111.2212000     515.6501000    1007.4491000   -1861.6305000    -935.1149000      29.5778000     161.6266000    -127.8350000 
decoy4_156_A_AMBER_minimized.pdb      8.1100    -44.0000000      16.4407979      -0.1269199   10125.4118000      99.7587000     531.3271000     999.8307000   -1887.8906000    -918.8701000      28.2153000     160.7675000    -103.7842000 
decoy15_29_A_AMBER_minimized.pdb      5.3400    -49.0000000      36.2859571      -0.1467472   10127.5546000      79.6555000     478.5346000    1002.7869000   -1680.2931000   -1099.5382000      28.9513000     167.7798000    -126.7624000 
decoy18_98_A_AMBER_minimized.pdb      9.3500    -40.0000000      18.7813366      -0.1723782   10105.0720000      84.5014000     526.0523000    1000.1652000   -1698.8822000   -1086.0597000      28.9596000     163.8047000     -95.9311000 
decoy24_86_A_AMBER_minimized.pdb      5.3600    -50.0000000      16.2490372      -0.1832670   10120.3385000      56.6929000     532.9432000    1025.7499000   -1902.2290000    -900.7217000      27.7705000     155.6655000    -166.5925000 
decoy50_151_A_AMBER_minimized.pdb    10.0300    -26.0000000      14.1569628      -0.0921244   10121.3362000     127.5592000     546.5174000     997.1031000   -1941.9670000    -850.0709000      28.9948000     177.3426000     -21.7114000 
decoy6_46_A_AMBER_minimized.pdb       7.6700    -42.0000000      35.0519260      -0.1253790   10115.9684000      95.8161000     493.1341000    1051.1901000   -1940.3685000    -903.2304000      32.2038000     174.6119000     -64.9899000 
decoy23_1_A_AMBER_minimized.pdb       4.5800    -41.0000000      36.7403205      -0.1154630   10119.0311000     114.0755000     562.6009000     999.6847000   -1861.7405000    -918.8882000      33.1825000     163.4954000     -93.9531000 
